entrance_area,time,weekday,avg_ppl_in,exit_area,avg_ppl_out,net_flow
Banqiao Dist.,18,4,25262.25,Banqiao Dist.,13479.88,11782.37
Banqiao Dist.,18,1,24634.63,Banqiao Dist.,11635.17,12999.46
Banqiao Dist.,18,3,24584.21,Banqiao Dist.,11752.91,12831.30
Banqiao Dist.,18,2,24143.38,Banqiao Dist.,11643.55,12499.83
Banqiao Dist.,18,0,23770.80,Banqiao Dist.,11268.93,12501.87
BL12,18,4,23040.03,BL12,17170.96,5869.07
BL12,17,4,20260.67,BL12,13131.14,7129.53
Banqiao Dist.,19,4,19035.15,Banqiao Dist.,10009.59,9025.56
Banqiao Dist.,19,1,18415.67,Banqiao Dist.,8140.14,10275.53
Banqiao Dist.,19,3,18350.39,Banqiao Dist.,8208.42,10141.97
Banqiao Dist.,19,2,18240.60,Banqiao Dist.,8162.01,10078.59
Banqiao Dist.,19,0,18225.08,Banqiao Dist.,8156.12,10068.96
BL12,18,3,16778.07,BL12,14590.84,2187.23
Banqiao Dist.,17,4,16278.77,Banqiao Dist.,10330.81,5947.96
BL12,17,5,16225.43,BL12,15122.95,1102.48
BL12,18,2,16142.78,BL12,14408.99,1733.79
BL12,18,1,16120.50,BL12,14255.00,1865.50
BL12,18,0,15827.62,BL12,14454.24,1373.38
BL12,17,6,15775.79,BL12,15371.67,404.12
Banqiao Dist.,17,1,15377.73,Banqiao Dist.,9296.60,6081.13
BL12,17,3,15173.55,BL12,10650.63,4522.92
Banqiao Dist.,17,5,15023.15,Banqiao Dist.,11409.90,3613.25
Banqiao Dist.,17,3,14967.09,Banqiao Dist.,9301.44,5665.65
Banqiao Dist.,17,2,14930.31,Banqiao Dist.,9084.05,5846.26
Banqiao Dist.,18,5,14718.35,Banqiao Dist.,10828.95,3889.40
BL12,17,2,14618.26,BL12,10704.56,3913.70
BL12,17,1,14556.00,BL12,10584.50,3971.50
BL12,17,0,14535.12,BL12,10908.31,3626.81
Banqiao Dist.,17,0,14497.95,Banqiao Dist.,9044.35,5453.60
BL12,16,6,14150.07,BL12,12577.49,1572.58
BL12,19,4,13940.40,BL12,14186.85,-246.45
BL12,16,5,13843.93,BL12,12146.75,1697.18
BL12,18,5,13554.02,BL12,14513.70,-959.68
BL12,13,5,13349.38,BL12,12432.96,916.42
BL12,15,6,13177.90,BL12,11614.33,1563.57
Banqiao Dist.,22,4,13025.93,Banqiao Dist.,6482.83,6543.10
Banqiao Dist.,17,6,12991.35,Banqiao Dist.,9772.08,3219.27
BL12,18,6,12917.84,BL12,15076.31,-2158.47
Banqiao Dist.,21,4,12906.98,Banqiao Dist.,6955.47,5951.51
BL12,16,4,12807.16,BL12,9289.14,3518.02
BL12,13,6,12655.92,BL12,11083.29,1572.63
Neihu Dist.,8,1,12653.47,Neihu Dist.,9051.51,3601.96
BL12,8,3,12602.24,BL12,11735.43,866.81
BL12,14,6,12561.09,BL12,11159.34,1401.75
BL12,8,4,12512.03,BL12,11568.55,943.48
Neihu Dist.,8,3,12510.21,Neihu Dist.,9000.57,3509.64
BL12,8,1,12444.67,BL12,11911.20,533.47
BL12,12,5,12379.75,BL12,11616.89,762.86
Neihu Dist.,8,2,12348.59,Neihu Dist.,8765.64,3582.95
Zhonghe Dist.,18,1,12341.09,Zhonghe Dist.,4247.22,8093.87
Neihu Dist.,8,4,12327.39,Neihu Dist.,8881.93,3445.46
Banqiao Dist.,20,4,12298.65,Banqiao Dist.,6778.03,5520.62
Nangang Dist.,8,3,12279.54,Nangang Dist.,10967.68,1311.86
BL12,8,2,12260.91,BL12,11339.02,921.89
BL12,15,5,12232.63,BL12,11485.10,747.53
O08,8,1,12217.99,O08,1199.90,11018.09
O08,8,3,12210.37,O08,1195.48,11014.89
Zhonghe Dist.,18,3,12196.97,Zhonghe Dist.,4309.18,7887.79
O08,8,4,12131.67,O08,1185.09,10946.58
BL12,14,5,12117.99,BL12,11774.11,343.88
BL12,8,0,12116.69,BL12,12574.15,-457.46
Banqiao Dist.,18,6,12097.14,Banqiao Dist.,8862.72,3234.42
Banqiao Dist.,21,3,12018.35,Banqiao Dist.,5710.72,6307.63
Zhonghe Dist.,18,2,11993.61,Zhonghe Dist.,4299.79,7693.82
Nangang Dist.,8,4,11973.23,Nangang Dist.,10779.08,1194.15
Nangang Dist.,8,1,11960.15,Nangang Dist.,11002.68,957.47
Zhonghe Dist.,18,0,11942.03,Zhonghe Dist.,4075.00,7867.03
O08,8,2,11880.02,O08,1172.31,10707.71
Neihu Dist.,8,0,11799.28,Neihu Dist.,8289.09,3510.19
Nangang Dist.,8,2,11796.41,Nangang Dist.,10694.97,1101.44
Banqiao Dist.,21,2,11784.90,Banqiao Dist.,5691.78,6093.12
Banqiao Dist.,20,3,11745.62,Banqiao Dist.,5574.66,6170.96
