編號,站名,lat,long,code,Eng,Eng2,code_2,eng_2,TOWNID,TOWNENG,townid_2,COUNTYNAME,TOWNNAME,towneng_2,COUNTYID,area_code
"1",忠孝復興站,25.04163,121.54377,BL15,Zhongxiao Fuxing,"0",BL15,Zhongxiao Fuxing,A02,Daan District,,,,,,BL15
"2",南港展覽館站,25.05539,121.61827,BL23,Taipei Nangang Exhibition Center,"0",,,,,A13,臺北市,南港區,Nangang District,A,Nangang District
"3",松山機場站,25.06302,121.55177,BR13,Songshan Airport,"0",BR13,Songshan Airport,A01,Songshan District,,,,,,BR13
"4",中山國中站,25.06085,121.54423,BR12,Zhongshan Junior High School,"0",BR12,Zhongshan Junior High School,A10,Zhongshan District,,,,,,BR12
"5",南京復興站,25.05210,121.54435,G16,Nanjing Fuxing,"0",G16,Nanjing Fuxing,A01,Songshan District,,,,,,G16
"6",大安站,25.03323,121.54391,R05,Daan,"0",R05,Daan,A02,Daan District,,,,,,R05
"7",科技大樓站,25.02612,121.54344,BR08,Technology Building,"0",BR08,Technology Building,A02,Daan District,,,,,,BR08
"8",六張犁站,25.02370,121.55162,BR07,Liuzhangli,"0",BR07,Liuzhangli,A02,Daan District,,,,,,BR07
"9",麟光站,25.01546,121.56106,BR06,Linguang,"0",BR06,Linguang,A02,Daan District,,,,,,BR06
"10",辛亥站,25.00548,121.55711,BR05,Xinhai,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"11",萬芳醫院站,24.99939,121.55820,BR04,Wanfang Hospital,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"12",萬芳社區站,24.99861,121.56807,BR03,Wanfang Community,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"13",木柵站,24.99824,121.57314,BR02,Muzha,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"14",動物園站,24.99826,121.57943,BR01,Taipei Zoo,"0",,,,,A11,臺北市,文山區,Wenshan District,A,Wenshan District
"15",大直站,25.07948,121.54689,BR14,Dazhi,Shih Chien University,BR14,Dazhi,A10,Zhongshan District,,,,,,BR14
"16",劍南路站,25.08485,121.55559,BR15,Jiannan Road,Miramar,BR15,Jiannan Road,A10,Zhongshan District,,,,,,BR15
"17",西湖站,25.08213,121.56721,BR16,Xihu,Takming University,,,,,A14,臺北市,內湖區,Neihu District,A,Neihu District
